COLUMN,name_type,val_range,min,max
SRQ21_2,text,"no one, البنيان   , انا وابنه, انا واختي, son daughter in low daughter, husband daughter, daughter and son, ال ابنه والاحفاد, his wife, wife and brother, ابنتها, wife/son, الاولاد, husband-daughters, ابنته, mother,father, إلا هوه  , ال لن , البنات, husband-maid, sister, الابن و زوجته و أولاده, الزوج والابن, ابنته و زوجته, wife and son, إلا بن  والابنه, my mother and I, الابتاء, الابن و زوجته و اولاده, my husband and my children, الزوج والستين , alone, husband, husband-children, daughter, me, ابنتيها وزوجها, الزوجة و الابناء, زوجته وابناءه, الابنه, wife,son, االابن والخادمه, الزوج, my brother and I, wife-maid, ال ابنه   والابن, the daughter, the children, brother-sister in law-nephew, زوجته وابنه, friend, ال ابنه والابن, انا, wife sister daughter, the son,the wife, بنت الأخ  وزوجه الاخ, the husband and the daughter, my brother, my children and I, her brother, son and his wife and 3 children, my siblings and I, ابنته و حفيده و زوجته, daughter, son-in-law, grandson, الابن  والاحفاد, my sister and I, الزوج و العاملة المنزلية, (me)her daughter, اﻻبن واﻻبنة, his wife, son, grandson, maid, son and maid, her son and her daughter, husband/children, children and wife, his wife and his children, father,brother, the wife and the daughter, الأبناء , الابن والاحفاد, hanine and asaad(son), his wife and his daughter, الزوجة و الابن, nephew, يعيش المسن في منزل ابنته وابنتيها, the daughter and the wife, her son,daughter,grandson and me, wife,kids, nothing, wife-daughter-sister, husband-daughter, إلا بنه00, father, maid, son-daughter in law, maid/daughters, wife and kids, الابن والا بنت , her son and his children, الزوج , me and my son, she, الزوجه , son's family, her husband and children, her son, wife-daughter, her son, her daughter in law, الزوج والاخت والعاملة المنزلية, الزوجه والاولاد, the children and the husband, لااحد, لا احد, my husband, my children and I, الزوجه, her husband,son,grandson and the maid, الاخت, her grandson, wife-sister, wife-children-sister, daughter-grandson, son and daughter, his children and me, me and my brother, my wife and I, the wife and the son, the wife and the maid, اختاها, the children and the wife, wife and children, his wife,the maid and his grandchildren, husband/son, daughter and her husband, daughter and two grandchildren, me and my children, my mother, his wife and children, الابن, wife and daughter, my wife, her sister, son-daughter-maid, the son, the mother, her husband and I, wife-son, her son, her daughter and her granddaughter, my seblings, son-daughter, wife/son/daughter-in-law, ابنتاها, her daughter and her granddaughter, البن و الزوجه والكنه, wife, mother-brother-maid, our son and I(her husband), the husband, her sister and her mother, الابن و الكنة, 0, the wife, wife kids, الابنة, الاولاد  ولالحفاد, ابنتها وابنها, his wife and one of his children, wife-son-daughter in law-grandson, son and his family, her daughter and son, husband son daughter, son-daughter in law-grandson, ال ابنه  الأولى   والثانيه0, االابن, الاخ و زوجته و أولاده, her husband and her daughter, الابن , her husband and her son, her daughter and grandchildren, family, son, brothers and sisters, daughter-daughter in law-children, brother, my husband, children and I, الوالدة, his wife, his son, زوجها و ابنتها و حفيدتها, اﻷوﻻد, المخبر, children, husband-son-daughter in law-grand children, relative, اﻻم وثلاث اخوات, الابن  والابنه, the wife and the children, ابنها و زوجها, wife-children, none, الابنهكلا, me and his children, mother, الزوج  ولابنه, الزوجة و الاولاد, husband and children, الزوجة و العاملة, الخ الزوجه وأبناء الاخ, الزوجه والابنه, البنه, my sister and her daughter, الزوج والابن   وبنت الابن, الزوجه والا بنه, انا واختي وامي, الابناء, son,sibling,grandchildren, husband and kids, husband-grandson, 2, the son and daughter, الزوجة و البناء, الزوج واولاده, الزوج الابنة واخت الزوج, her husband, اﻻزوج, his son,grandson and me, إلا بأنه والابن  وابن الابن, الزوج و الابن, الاخت وزوج الاخت و العاملة المنزلية, her daughter, the husband and the wife only, her son and his family, wife and maid, younger brother, الزوج و الابناء, الزوجه ةالاولاد, زوجته, husband-son, الزوجة وبناته الثلاث, her husband and the maid, the daughter, the children, husband/maid, wife/daughter, الااحد, the daughter and the son, the son and the daughter in law, الخادمه, انا والاولاد, her husband and her children, ابنتان المشترك, the sister, الابن   والبنت , my seblings and I, her kids, الزوجة و الابنة, لا أحد, daughters, the wife and her sister, his children and I, his family, husband sister daughter, daughter/grand-daughter, wife made, اولاد, husband and son, البنات , ال ابنه والزوجه, her son, her daughter in law, her granddaughter, اﻻبنة, daughter-maid, me,kids, الابن الكنه الاحفاد, husband and daughter, nobody, الزوجة, wife and made, زوج والعاملة المنزلية, العاملة المنزلية, wife-daughters, her daughter and her grand daughter, الاخ, her children, daughter and helper, the son and his children, wife/sons, 6, the maid, my husband, الزوج الابنة, الابن وزوجته والاحفاد, الابن و الابنة و الزوج, son and his wife, brother-sister in law-children, الابن الكنة و الاحفاد, wife-son-daughter, الابن الكنة و الاحغاد, the son", , 
SRQ22_2,text,"support him, ﻻ شئ, المساعده عندما يكون مريضا من ناحيه اللبس والأكل , his wife, الأعمال الشاقه, help her if she's sick,  الاستحمام و ارتداء الملابس تحضير الطعام و ترتيب المنزل, house chores, لا يحتاج مساعدة إلا لتحضير طعامه , cooking-cleaning, fixing the house, house chores and preparing food, buying stuff, لا يحتاج مساعدة, preparing stuff, حاليا كل شي, no need, مساعده في الأعمال المنزليه  والتسوق, no, prepare food, bathing-dressing, الأعمال القاسية جدا, preparing food, cleaning the house, شغل الييت, لا تحتاج مساعدة, preparing food, housekeeping, stuff for the house, showering/cooking, تحضير الطعام, fixing the house/preparing her stuff, تناول ادويتها, sit with her, giving meds, الأعمال النزليه, prepare food, escorting, العمل الشاق ا, ﻻ يحتاج, كل انواع المساعدة, cleaning-watching the elderly, كل شيكل شيىء, buy her meds if sick and prepare food, اللباس ومساعدته في الأكل    والمشي   وأعطاه  الدواء, fix the house/cooking, food,laundry, sometimes bath, giving her medication, nothing, housecleaning, we give her the walker to walk, food, housekeeping and preparing food, her husband and children, لا شيء, تحضير الطعام  واعطاء الدواء و اﻻعمال المنزلية, food,buying medicine,cleaning the house, bath, جلب الاغراض, استخدام المرحاض الحمام تحضير الطعام الحركة, his wife prepares food and takes care of him, everything, sometimes, ترتيب المنزل/ التحرك , أغلب الأشياء , cooking/medications, we take care of each other, الاعمال المنزلية والاستحمام, ترتيب البيت, بعض الاعمال المنزلية, المساعدة في اﻻعمال المنزلية, preparing food, أكل شي, cleaning/cooking, المساعده الجسديه, her husband,son and the maid, قليل من الأعمال المنزليه, fix the house/timing of medication lunch dinner, cooking and house chores, الاعمال المنزلية والاهتمام به, كل شيء, the husband, كل شي حاليا بسبب الحادث, تنظيف، تحضير الطعام, 0, buying things, supervision on behaviour, bathing-food, prepare food and help the maid, تحضير الطعام و ترتيب المنزل, ترتيب المنزل, don't need help, cooking and laundry, أعمال البيت جنعيها, لا شي, cook food, cooking, preparing her stuff/help her in standing, تحضير الطعام والتسوق, buying things and medicine, cooking, giving meds, taking care, most of the things, fix the house, الأعمال اامنزليه, none, agriculture, الاعمال المنزلية وتحضير الطعام, كل شي الطعام دخول الحمام اللباس    أخذ  الرواء , لا يحتاج للمساعدة, help in the house, cleaning, كل شي, الاعمال المنزلية والاستخمام, if she's sick we give her meds, preparing food and buying stuff, when he walks he gets tired, تصليح الاعطال, تناول الدواء, كل شيء المشترك عاجز عن الحركة بشكل كلي تقريبا, showering, تحتاج إلى المساعده في الأعمال النزليه, أعمال المنزل   كلها, العمل في المنزل, ا0, preparing his stuff, بعض المساعدة في الاعمال المنزلية, لا يحتاج المساعدة, احمل اﻻشياء الثقيله, الأعمال المنزليه, لا يحتاج للمساعدة إلا في حال المرض, أعمال المنزليه, cleaning the house, القليل من الأعمال المنزليه, االاعمال  المنزليه   بكاملها, cleaning,shopping, الأعمال القاسيه, الأعمال المزليه, تصليح, 97, take care of her if sick, أقسم من العمال المنزليه, الأعمال القاسيه جدا, nobody, التيوق, prepare his stuff, لا يحتاج, housekeeping, escorting, الأعمال المنزليه والاهتمام بالمشترك, تصليح الأعطال , العمال المنزليه, giving her medicine, preparing food and stuff, الاعمال المنزلية, السوق  الأعمال القاسيه في المنزل, if she wants something i help her, الاهتمام به ومساعدته على الاهتمام بنظافته واعطائه اﻻدوية الﻻزمة", , 
SRQ23_2,text,"help me walking, buying stuff occasionally, she can't walk, accompany, accompanying him, الحركة, ﻻ يحتاج للمساعدة  , accompany/shopping, شراء الدواء والأغراض , التحرك/التسوق, buying stuff, حمل اﻻغاض, لا يحتاج مساعدة, help him in the shop, walks alone but get tired, no need, no, walking, المشتريات, التسوق وشراء اﻻدوية, مساعدة في المشي, السواقه, المشي, transportations, accounting of his store, buy necessary stuff, buy things, ﻻ يحتاج, التسوق, كل انواع المساعدة, help her to sit in the car, احيانا يحتاج لمن يساعده في المشي, take him to the doctor, nothing, ﻻ يحتاج الكثير ما المساعدة , accompany on the road, لا يحتاج مساعدة الا في بعض الوقات حيث يحتاج توصيلة الى مكان بعيد, لا شيء, جلب الاغراض, take her to see her children, everything, accompanying her, help in walking, accompany her to the doctor, التنقل و التسوق, التسوق شراء الدواء , cannot walk, المساعده الجسديه, hold her while walking, hold her stuff, التنقل, كل شيء, buying medicine, ﻻيحتاج, 0, driving, buying things, لا تحتاج إلى مساعده, supervision on behaviour, التسوق احيانا, كل المساعده, while walking, taking care of him, المساعدة على الحركة/جلب الدواء, going to the doctor or shopping, التسوق من خارج المنطقه, التسوق   اغراضها, shopping, buying things and medicine, لا يوجد, none, التسوق وجلب الدواء , agriculture, لاشيء, لا يحتاج للمساعدة, لا يخرج, escorting her, كل شي, شراء الحاجيات من السوق, accompany to the doctor, i take her anywhere, her husband, buying meds, الاعمال المنزلية وتناول الادوية, watching him, المساعدة في التنقل, شراء الدواء, المساعده  في المشي, النقل, لا يحتاج مساعد , 97, rarely goes out/sits on a chair waiting the car, take her to visit a relative or to the doctor, buying stuff and housekeeping, لا يحتاج, المساعده  في المشي , يحتاج الى المساندة عندما يمشي, escorting, take her a ride in the car to buy stuff, إحضار الادويه التسوق, buying medication, buying medicine and going to the doctor, التنقل بالسياره, صعوبه في المشي لفتره طويله, حاليا كل شئ بسبب الكسر, الذهاب إلى المشفى, إحضار الأغراض بسبب بعد المنزل عن البقالة, تصليح الأعطال   وقسم من  التسوق", , 
SRQ24_2,text,"no one, نحن ابناءها, ااتتنقل, neighbours, his wife, الاولاد, الاخ و زوجته و اولاده, البنات, sister, االاخت, البنت, her daughter,my husband and me, his wife and me, husband, husband-children, her daughter, her sons, ابنه الابن, daughter, me, الابن وانا, daughter in law, الابنه, الزوجه   ولابنه, الأبناء والاحفار, no need, no, الزوج, الكنه, اﻻخت, husband/daughter-in-law, the daughter, friend, انا, hanine and her kids, his wife and the maid, my siblings and I, her daughter comes if she's sick, الابن و زوجته, االالن, her son and I, his wife and his daughter, nephew, nothing, الكنز , maid, her son, only me, لا احد, اﻷوﻵد, الزوجه, جميع الابناء, the maid and I, الاخت, الابن والكنه, الجميع, the daughter and me, تقريبا كل افراد العائلة, me and my brother, my wife and I, الابنتان, we take care of each other, his daughter in law, take care of himself, wife and children, الابناء  واىزوجه, الزوجه وااكنه, انا واختي, my mother, me and my children, الابن, her sister, الابن و الزوج, wife-son, my seblings, son-daughter, المواصلات, الزوجة فقط, wife, الابنه والخادمه, made, الغاملة المنزلية, the husband, لا يحتاج مساعة, الابن و الكنة, his children, 0, the wife, البنت الزوج, one of my seblings and me, الابنة, brother-sister in law, my husband and I, الكنه والابن, sibling, son, if sick, daughter visits her frequently, brother, his wife when he is sick, her son only, العاءله, المخبر, children, wife and other relatives, wife-children, his wife and his son, none, الابن والابنة, الابناء, بنت الأخ , her granddaughter, her son, husband and kids, her sister samia takes care of her if she's sick, his wife, siblings and me, البنة, her husband, her daughter in law, her daughter, ابنة الاخ, زوجته, husband-son, الخادمه, the daughter and the son, all can help when needed, mother,me, انا واخواتي, لا أحد, her niece, daughters, husband and son, ahmad and I, 97, اﻻبنة, me,kids, younger brother and his wife, nobody, أولاده, الزوجة, husband/children when needed, الحفار والابناء, him and his family, sometimes her daughter, العاملة المنزلية, الاخ, daughter and helper, I, the maid, her son and her daughter in law, the son", , 
SRQ25_2,text,"financially/shopping, no one, كل المساعدع, prepare food and bring her stuff, treatment, financial support, agriculture and housekeeping, stay with her, الماديه, financial, accompany, house tasks, no help, لا اقدم اي مساعدة, house chores, cooking and buying things, food, meds, preparing his things, تناول الدواء , anything that she needs, توصيلة او اصلاح معدات في المنزل, كل المساعدة المطلوبة, house chores and preparing food, if she needs anything, buying stuff, anything, house duties, تحضير الطعام , prepare food and take care of him, الجسديه, helping in housekeeping, preparing stuff, no need, no, prepare food, المساعره في تحضير الطعام, لا أقدم مساعده  لأني مريضه سرطان , مساعدته على الوقوف والمشي, الأعمال في اامزل, the children, العمل المنزلي بالاضافه إلى جلب الاغراض, مساعدة في المشي, financially, preparing stuff and take care of him, movement from one room to another, preparing stuff and food, preparing food and give her medication, شغل الييت, مساعدة في اﻻعمال المنزلية, لى شيء, washing her/preparing food/giving medications, buying stuff, especially if no electricity, تحضير الطعام, prepare his clothes, anything he needs, giving meds, buy things, preparing and buying his stuff, sit with her, التسوق وشراء الدواء , احيانا جلب أغراض من الخارج, preparing food/shopping, مساعدة في التسوق, financial and moral support, التسوق, كل انواع المساعدة, organizing his stuff, في المشي   واللبس, تساعدها في عمل المنزل, transportation, شراء بعض الاغراض, if he needs anything, buy her meds if sick, food,cleaning the house, giving her medication, anything she asks for, check on her, help her walking, food, nothing, التسوق و ترتيب الننزل, housekeeping and preparing food, shopping/cooking, giving money, help him in the shop and at home, لا شيء, prepares his stuff, bath, preparing food and house chores, لا احد, giving her medicine and house chores, preparing stuff and take care when he is sick, house chores and cooking, اﻻعمال المزلية, everything, taking care of her, المساعدة على الحركة, كل الأشياء الضروريه, الاهتمام بالمسن, كل شئ, cooking/medications, preparing food, giving meds, usually serves herself, helping, preparing food or juice, and house-keeping, preparing food and housecleaning, buys her stuff, any, لا مساعدة, take him out, getting stuff, المساعدة في اﻻعمال المنزلية, preparing food, taking care of her and preparing food, المساعده في الأعمال النزليه, guidance, ااماديه, كل شيء, ساعدها في الأعمال المنزل , give her meds, prepare food, 0, routine tasks, buying things, المساعده الماديه, الاهتمام بالمشترك, buy stuff, cooking-cleaning-buying things, شراء الأدوية أو أغراض من البقالة, preparing food-house chores, كل المساعده, housekeeping and shopping, cooking,clothing, check on us, giving medications/preparing food, لا اقدم مساعدة, الماديه والجسدية  , taking care of him, prepare clothes, food, stuff, guest reception, تقديم الطعام, medications/buying things/fixing the house, buying things/preparing his stuff, cooking, shopping, give him money, meds, stuff, ماليه, لا تحتاج  إلي مساعده, everything he needs, none, preparing food and clothing, لاشيء, accompany her, الاعمال المنزلية وتهتم بنظافته ودخوله الحمام, preparing food and shopping, cleaning, العمل المنزلي وتناول الادوية, الاهتمام بصحه المشترك, كل شي, لا حاجة للمساعدة, buying things-prepare food, house cleaning, preparing food and housekeeping, المساعده في الاهتمام في المريض من كل النواحي , كل المساعده تقريبا, at home, buying stuff and housekeeping, if needed, giving him money, الجسديه والماديه, shopping,cleaning, شراء الدواء   التسوف, prepare the food, preparing food and buying stuff, clothing and cooking, تصليح الاعطال, مساعده ماديه, help him with all tasks, لا ينطبق, تنظيف المنزل, كل المساعدات المطلوبة, cooking-house chores, house chores and buying things, shopping if asked, العمل في المنزل, just sitting with him, providing basic needs, الماديه والجسديه, preparing his stuff, اﻻعمال المنزلية, help the maid, إعطاء الدوا, work at home, الأعمال المنزليه, كلما سبق, buying things, financial, cooking/visit her, bathing, cleaning the house, buys things/give him his medications, little help, prepare food/fix the house, taking care of the house/giving medications, when he is sick, الدعم النفسي, تحضير الطعام ترتيب المنزل, shopping-preparing food, كل شي , sit with her- buy stuff, domestic tasks, 97, تساعدها في اﻻستحمام وارتداء المﻻبس, الأعمال القاسيه جدا, cooking-bathing-dressing-watching, nobody, taking care, اﻻعمال المنزلية  المساعدة في تناول اﻻدوية, get her stuff from supermarket + help her, housekeeping, take care of her and the house, المساعده في الأعمال المنزليه, housekeeping, shopping, ﻻ مساعدة, buying medication, buying stuff from the market, giving her medicine, الاعمال المنزلية, buying medicine and things, financially/buys things, إحضار أغراض أو صيانة أعطال في المنزل, المساعده الماديه  والجسديه, check on them", , 
SRQ26_2,text,"yes financially, cooking and financial aid, القليل, لا, 0, moral support, الاولاد, nothing, financial support, اكيد, yes, house chores and food, قليل, كلا نعم, نعم احيانا, كاا, لا احد, daughter, كﻻ, اكي,, don't need help, but yes, نعم, no need, احيانا, no, 97, sometimes, nobody, none, financially, نعك, كلا , a little, كلا, اجل, كلت, نهم, عندما يكون بحاجة للمساعدة, نعم ", , 
SRQ27_2,text,"no one, his wife, العاملة, my siblings, the brother, his son, البنات, sister, husband, الاج, daughter, daughter in law, الابنه, ابنه الأخت , my daughter, no need, no, الكنه, the daughter, the children, her first son, إلا بنه, her brother, his wife or one of his siblings, my siblings and I, كلت, نعم زوجته, نعم , لل, الأبناء , ابن الابن, nothing, اﻻبن, maid, نعم الاخوه, نعم ابي, her son, yes, اختي, الاخت, الاخوات, sometimes, الكل يساعد , ﻻ يوجد, my sister, yes, wife, eldest daughter, احيانا اخواتي, كﻵ, my mother, االابن التاني, الابن, my seblings, wife, أخوتي, his children, 0, son, كاا, brother, نعم, my siblings and me, children, نعم   الابنه, لا يوجد, نعم بنت الاخت, none, mother, her granddaughter, الابناء, كلا, her husband, ابنك, her daughter in law, her daughter, لا, ﻻ, أحيانا, the daughter and the son, maid/children, االبنات, my seblings and I, daughters, كﻻ, الابناء والبنات, 97, الاخوه, nobody, الزوجة, العاملة المنزلية, الاخ, the maid, اولاد الابناء, yes, my mother (her sister)", , 
SRQ28_2,text,"no one, they visit, don't existe, daily visit her, لا, 0, her friend pass every day, we spend time together everyday, buying things, neighbor, ﻻ, nothing, yes, ﻻ احد, visit her constantly, her neighbour helps her, كﻻ, نعم, no need, احيانا, no, 97, friends, sometimes, في بعض الأحيان, ﻻ يحتاج مساعدتهم, he spends time with them everyday, نعم يقدمون, nobody, none, القليل من المساعه0, كﻵ, she has friends but they don't visit oftenly, visit her, they just visit her, 1, كلا, كلت, ابدا, نعم ", , 
CARENEED_2,select_one CARENEED_2,1.0-3.0,1.0,3.0
CAREWHO1_2,select_one CAREWHO1_2,1.0-4.0,1.0,4.0
CAREWHO2_2,select_one CAREWHO2_2,1.0-3.0,1.0,3.0
CUTBACK_2,select_one CUTBACK_2,0.0-99.0,0.0,99.0
CUTWHEN_2,integer,12.0-36.0,12.0,36.0
CUTHOUR_2,integer,4.0-60.0,4.0,60.0
CAREHELP_2,select_one yes_no,0.0-1.0,0.0,1.0
HRHELP_2,select_one HRHELP_2,1.0-1.0,1.0,1.0
ZB1_2,select_one ZB,0.0-4.0,0.0,4.0
ZB2_2,select_one ZB,0.0-4.0,0.0,4.0
ZB3_2,select_one ZB,0.0-4.0,0.0,4.0
ZB4_2,select_one ZB,0.0-4.0,0.0,4.0
ZB5_2,select_one ZB,0.0-4.0,0.0,4.0
ZB6_2,select_one ZB,0.0-4.0,0.0,4.0
ZB7_2,select_one ZB,0.0-4.0,0.0,4.0
ZB8_2,select_one ZB,0.0-4.0,0.0,4.0
ZB9_2,select_one ZB,0.0-4.0,0.0,4.0
ZB10_2,select_one ZB,0.0-4.0,0.0,4.0
ZB11_2,select_one ZB,0.0-4.0,0.0,4.0
ZB12_2,select_one ZB,0.0-3.0,0.0,3.0
ZB13_2,select_one ZB,0.0-2.0,0.0,2.0
ZB14_2,select_one ZB,0.0-4.0,0.0,4.0
ZB15_2,select_one ZB,0.0-4.0,0.0,4.0
ZB16_2,select_one ZB,0.0-4.0,0.0,4.0
ZB17_2,select_one ZB,0.0-3.0,0.0,3.0
ZB18_2,select_one ZB,0.0-4.0,0.0,4.0
ZB19_2,select_one ZB,0.0-4.0,0.0,4.0
ZB20_2,select_one ZB,0.0-4.0,0.0,4.0
ZB21_2,select_one ZB,0.0-4.0,0.0,4.0
ZB22_2,select_one ZB22_2,0.0-2.0,0.0,2.0
ACTIV_2,select_one ACTIV_2,0.0-99.0,0.0,99.0
MENTAL_2,select_one MENTAL_2,0.0-1.0,0.0,1.0
MEMORY_2,select_one yes_no_dk,0.0-98.0,0.0,98.0
PUT_2,select_one yes_2,0.0-2.0,0.0,2.0
KEPT_2,select_one yes_2,0.0-2.0,0.0,2.0
FRDNAME_2,select_one yes_2,0.0-2.0,0.0,2.0
FAMNAME_2,select_one yes_2,0.0-2.0,0.0,2.0
CONVERS_2,select_one yes_2,0.0-2.0,0.0,2.0
WORDFIND_2,select_one yes_2,0.0-2.0,0.0,2.0
WORDWRG_2,select_one yes_2,0.0-2.0,0.0,2.0
PAST_2,select_one yes_2,0.0-2.0,0.0,2.0
LASTSEE_2,select_one yes_2,0.0-2.0,0.0,2.0
LASTDAY_2,select_one yes_2,0.0-2.0,0.0,2.0
ORIENT_2,select_one yes_2,0.0-2.0,0.0,2.0
LOSTOUT_2,select_one yes_2,0.0-99.0,0.0,99.0
LOSTIN_2,select_one yes_2,0.0-2.0,0.0,2.0
CHORES_2,select_one yes_2,0.0-2.0,0.0,2.0
CHOREDIS_2,select_one CHOREDIS_2,0.0-1.0,0.0,1.0
HOBBY_2,select_one yes_no_dk2,0.0-99.0,0.0,99.0
MONEY_2,select_one MONEY_2,0.0-99.0,0.0,99.0
CHANGE_2,select_one yes_2,0.0-2.0,0.0,2.0
REASON_2,select_one yes_no_dk2,0.0-99.0,0.0,99.0
FEED_2,select_one FEED_2,0.0-3.0,0.0,3.0
FEEDDIS_2,select_one FEEDIS_2,0.0-1.0,0.0,1.0
DRESS_2,select_one DRESS_2,0.0-3.0,0.0,3.0
DRESSDIS_2,select_one DRESSDIS_2,0.0-1.0,0.0,1.0
TOILET_2,select_one TOILET_2,0.0-3.0,0.0,3.0
TOILDIS_2,select_one TOILDIS_2,0.0-1.0,0.0,1.0
MISTAKE_2,select_one yes_no,0.0-1.0,0.0,1.0
MUDDLED_2,select_one yes_no_dk2,0.0-99.0,0.0,99.0
ENDIF_2,select_one yes_no,0.0-1.0,0.0,1.0
CLOUDING,select_one yes_no,0.0-99.0,0.0,99.0
CONFNITE,select_one yes_no,0.0-1.0,0.0,1.0
CONFDAY,select_one yes_no,0.0-1.0,0.0,1.0
NOCTURN,select_one nocturn,0.0-1.0,0.0,1.0
NPI1,select_one yes_no_dk,0.0-98.0,0.0,98.0
NPI1SEV,select_one affect_E,0.0-99.0,0.0,99.0
NPI1DIS,select_one distress_C,0.0-3.0,0.0,3.0
NPI2,select_one yes_no_dk,0.0-98.0,0.0,98.0
NPI2SEV,select_one affect_E,0.0-3.0,0.0,3.0
NPI2DIS,select_one distress_C,0.0-1.0,0.0,1.0
NPI3,select_one yes_no_dk,0.0-98.0,0.0,98.0
NPI3SEV,select_one affect_E,0.0-99.0,0.0,99.0
NPI3DIS,select_one distress_C,0.0-4.0,0.0,4.0
NPI4,select_one yes_no_dk,0.0-98.0,0.0,98.0
NPI4SEV,select_one affect_E,0.0-99.0,0.0,99.0
NPI4DIS,select_one distress_C,0.0-4.0,0.0,4.0
NPI5,select_one yes_no_dk,0.0-98.0,0.0,98.0
NPI5SEV,select_one affect_E,0.0-99.0,0.0,99.0
NPI5DIS,select_one distress_C,0.0-4.0,0.0,4.0
NPI6,select_one yes_no_dk,0.0-98.0,0.0,98.0
NPI6SEV,select_one affect_E,0.0-99.0,0.0,99.0
NPI6DIS,select_one distress_C,0.0-3.0,0.0,3.0
NPI7,select_one yes_no_dk,0.0-98.0,0.0,98.0
NPI7SEV,select_one affect_E,0.0-99.0,0.0,99.0
NPI7DIS,select_one distress_C,0.0-4.0,0.0,4.0
NPI8,select_one yes_no_dk,0.0-98.0,0.0,98.0
NPI8SEV,select_one affect_E,0.0-2.0,0.0,2.0
NPI8DIS,select_one distress_C,0.0-3.0,0.0,3.0
NPI9,select_one yes_no_dk,0.0-98.0,0.0,98.0
NPI9SEV,select_one affect_E,0.0-99.0,0.0,99.0
NPI9DIS,select_one distress_C,0.0-4.0,0.0,4.0
NPI10,select_one yes_no_dk,0.0-98.0,0.0,98.0
NPI10SEV,select_one affect_E,0.0-99.0,0.0,99.0
NPI10DIS,select_one distress_C,0.0-3.0,0.0,3.0
NPI11,select_one yes_no_dk,0.0-98.0,0.0,98.0
NPI11SEV,select_one affect_E,0.0-99.0,0.0,99.0
NPI11DIS,select_one distress_C,0.0-4.0,0.0,4.0
NPI12,select_one yes_no_dk,0.0-98.0,0.0,98.0
NPI12SEV,select_one affect_E,0.0-99.0,0.0,99.0
NPI12DIS,select_one distress_C,0.0-4.0,0.0,4.0
NPIHELP,select_one yes_no_dk,0.0-98.0,0.0,98.0
NPITIME,integer,1.0-30.0,1.0,30.0
NPIADV,select_one yes_no_dk,0.0-98.0,0.0,98.0
NPIAHLP,select_one help,0.0-2.0,0.0,2.0
NPIMED,select_one yes_no_dk,0.0-98.0,0.0,98.0
NPIMHLP,select_one help,0.0-2.0,0.0,2.0
HASCONF_2,select_one HASCONF_2,0.0-4.0,0.0,4.0
dem1066,not found,"0, 1,  ", , 
