COLUMN,description,perc_missing,perc_erroneous
Q1305_2,"The content of delirium and / or hallucinations is annoying or oppressive, but does not provoke dissatisfaction thus it is compatible with depression.
",96.2890625,0.184842884
Q1306_2,"The content of delirium and / or hallucinations is fun, appreciative or great, and therefore fits in with the joyful mood.",96.2890625,0.184842884
Q1307_2,Have there been hallucinations for a period of up to two weeks in the absence of clear symptoms of mood changes (ie before the appearance of symptoms or after they are gone),96.2890625,0.184842884
Q1022_2,"Mysterious, or almost certainly not true.",96.38671875,0
Q1301_2,Marked effective response,96.38671875,0.184842884
Q1302_2,Feels with discontent that he/she does not deserve these experiences,96.38671875,0.184842884
Q1303_2,"Feel that the experiences are a worthy punishment.

",96.38671875,0.184842884
Q1304_2,The interviewer seems indifferent or does not speak much about emotional reactions.,96.38671875,0.184842884
Q1021_2,It is unlikely to be true but possible,96.484375,0.184842884
Q471_2,the elderly says that he/she had (or maybe had) a brain stroke in the past,96.6796875,0
CKINCOM_2/5,not found,96.875,0
ageexpl,Can the discrepancy be explained convincingly by participant and/or informant?,96.875,0
CKINCOM_2/1,not found,97.265625,0
age1,"If yes, state here in your opinion, the most likely correct age of the participant and skip to section 3.",97.36328125,0
Q312_2,during the last year,97.36328125,0.184842884
Q313_2,felt like wanting to die for at least 2 weeks in the past month,97.36328125,0.184842884
age2,Age according to Events Calendar.,97.55859375,0
Q321_2,did attempt suicide ,97.55859375,0.184842884
Q322_2,refused to be suicidal but wished for death because of feeling burdened by life,97.55859375,0.184842884
Q367_2,did the doctor/specialist give you any advice ,97.75390625,0
Q921_2,It may not be true,97.75390625,0.184842884
Q922_2,Elderly considers it true,97.75390625,0.184842884
Q923_2,Elderly is convinced that it is true,97.75390625,0.184842884
Q369_2,did the doctor/specialist prescribe any medication for you,97.8515625,0
CKINCOM_2/8,not found,98.046875,0
Q1401_2,"Says that when alone, he/she drinks three or more alcoholic beverages sequentially (one after the other)",98.14453125,0
Q3610_2,was the medication useful ,98.33984375,0
Q1411_2,Indicates that he/ she drinks alcohol on 4 occasions or more during separate times of the day,98.33984375,0
Q368_2,what was the doctor's advice ,98.4375,0
Q1412_2,Indicates that he/ she usually drinks alcohol for continuous periods every day (more than 3 hours),98.4375,0
Q1001_2,"The elderly believes that people are trying to make him/her angry, frustrated or exploit him/her.",98.6328125,0.184842884
Q1002_2,The elderly believes that people are trying to cause him serious physical harm or to kill him/her.,98.6328125,0.184842884
Q1011_2,"The elderly claims to be an official person or belonging to an organization (police, MI, KGB5 etc.)",98.6328125,0.369685767
Q1012_2,"The elderly claims to be an ordinary person, known (celebraty) or unknown (not)",98.6328125,0.369685767
NPITIME,When? (time since going to consult in months),98.73046875,0
NPIAHLP,Did it help?,98.828125,0
CKINCOM_2/7,not found,99.0234375,0
Q1281_2,The visions were made at a time when the participant was fully awake,99.12109375,0.184842884
Q1291_2,He/she thought it was real,99.12109375,0.184842884
Q1421_2,Suffered such effects from excessive drinking or stopping drinking.,99.4140625,0
Q1431_2,Needs a drink,99.4140625,0
NPI1SEV,How much does this affect your xxxx?,99.4140625,0.184842884
NPI1DIS,How much distress does this problem cause you?,99.4140625,0
agediscy,Number of years of discrepancy,99.51171875,0
