COLUMN,data_type,max,min,name_type,nb_categories,val_range
Q1171_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1181_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1182_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1191_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1201_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1211_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1221_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1222_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1231_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1232_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1233_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1241_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1242_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1251_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1271_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1281_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1291_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1301_2,categorical,8.0,0.0,select_one GMS15,5.0,"no,the elderly talks only about his/her feelings,the elderly acts emotionally,no answer,not applicable "
Q1302_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1303_2,categorical,8.0,0.0,select_one GMS16,5.0,"no,the elderly feels that in general he/she deserves the trials/ experiences,the edlerly is sure enough that he/she deserves the experiences,no answer,not applicable "
Q1304_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1305_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1306_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1307_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1351_2,categorical,8.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1361_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1362_2,categorical,0.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1363_2,categorical,0.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1364_2,categorical,0.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1365_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1366_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1367_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1368_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1371_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1381_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1391_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1401_2,categorical,1.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1411_2,categorical,1.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1412_2,categorical,1.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1421_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1431_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1441_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
IRERROR_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1451_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1452_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1453_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1454_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1551_2,categorical,8.0,0.0,select_one GMS17,5.0,"good ,fair ,weak ,no answer,not applicable "
Q1561_2,categorical,8.0,0.0,select_one GMS6,6.0,"very happy,happy to a normal extent ,not very happy,not happy at all,no answer,not applicable "
ICINTCOM_2,categorical,1.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1581_2,categorical,2.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1582_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1591_2,categorical,2.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1601_2,categorical,2.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1602_2,categorical,2.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1611_2,categorical,2.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1621_2,categorical,2.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1631_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1632_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1633_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1634_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1635_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1641_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1642_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1651_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1652_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1661_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1671_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1701_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1702_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1703_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1704_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1705_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1706_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1707_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1708_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1709_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1741_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1742_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1743_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1744_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1745_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1751_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1752_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1753_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1754_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1755_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1771_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1781_2,categorical,9.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1791_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1792_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1795_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1796_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1798_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q17910_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q17911_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q17912_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q17920_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q17922_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1801_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1802_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1803_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1804_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1805_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1806_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1807_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1808_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1809_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q18010_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q18011_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q18012_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q18013_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q18014_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q18015_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q18016_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q18017_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q18018_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q18019_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q18020_2,categorical,9.0,0.0,select_one GMS1,4.0,"no,yes,no answer,not applicable "
Q1811_2,categorical,3.0,0.0,select_one GMS7,5.0,"logical answers,little doughts ,some level of doughts,a lot of doughts,useless information "
Q1821_2,categorical,8.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
Q1822_2,categorical,2.0,0.0,select_one GMS2,5.0,"no,yes simple,yes severe,no answer,not applicable "
CARELIVE_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
CAREMAR_2,categorical,4.0,1.0,select_one CAREMAR_2,5.0,"never married ,married ,seperated or divorced,widowed,no answer"
CAREEDUC_2,categorical,8.0,1.0,select_one CAREEDUC_2,9.0,"no education,reads and writes,little education but did not complete primary level,completed primary education,completed intermediate education,completed high school ,technical education,completed university level/graduate level,no answer"
CJOB_2,categorical,99.0,1.0,select_one CJOB_2,7.0,"full time work,part time work,unemployed, looking for a job,unemployed, NOT looking for a job,housewife (husband),retired ,no answer"
CINCOM_2,categorical,99.0,0.0,select_one yes_no_na,3.0,"no,yes,no answer"
CINCOM2_2,categorical,99.0,0.0,select_one CINCOM2_2,6.0,"not sufficient at all,not sufficient ,sufficient ,more than sufficient ,don’t know ,no answer"
DAY1_2,categorical,2.0,0.0,select_one DAY                 ,3.0,"did not spend any time ,sometime,all the time "
DAY1A_2,integer,24.0,1.0,integer,,1.0-24.0
DAY1B_2,integer,24.0,3.0,integer,,3.0-24.0
DAY2_2,categorical,2.0,0.0,select_one DAY,3.0,"did not spend any time ,sometime,all the time "
DAY2A_2,integer,24.0,0.0,integer,,0.0-24.0
DAY2B_2,integer,24.0,3.0,integer,,3.0-24.0
SRQ1_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ2_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ3_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ4_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ5_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ6_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ7_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ8_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ9_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ10_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ11_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ12_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ13_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ14_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ15_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ16_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ17_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ18_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ19_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ20_2,boolean,1.0,0.0,select_one yes_no,2.0,"no,yes"
SRQ21_2,text, , ,text,,"no one, البنيان   , انا وابنه, انا واختي, son daughter in low daughter, husband daughter, daughter and son, ال ابنه والاحفاد, his wife, wife and brother, ابنتها, wife/son, الاولاد, husband-daughters, ابنته, mother,father, إلا هوه  , ال لن , البنات, husband-maid, sister, الابن و زوجته و أولاده, الزوج والابن, ابنته و زوجته, wife and son, إلا بن  والابنه, my mother and I, الابتاء, الابن و زوجته و اولاده, my husband and my children, الزوج والستين , alone, husband, husband-children, daughter, me, ابنتيها وزوجها, الزوجة و الابناء, زوجته وابناءه, الابنه, wife,son, االابن والخادمه, الزوج, my brother and I, wife-maid, ال ابنه   والابن, the daughter, the children, brother-sister in law-nephew, زوجته وابنه, friend, ال ابنه والابن, انا, wife sister daughter, the son,the wife, بنت الأخ  وزوجه الاخ, the husband and the daughter, my brother, my children and I, her brother, son and his wife and 3 children, my siblings and I, ابنته و حفيده و زوجته, daughter, son-in-law, grandson, الابن  والاحفاد, my sister and I, الزوج و العاملة المنزلية, (me)her daughter, اﻻبن واﻻبنة, his wife, son, grandson, maid, son and maid, her son and her daughter, husband/children, children and wife, his wife and his children, father,brother, the wife and the daughter, الأبناء , الابن والاحفاد, hanine and asaad(son), his wife and his daughter, الزوجة و الابن, nephew, يعيش المسن في منزل ابنته وابنتيها, the daughter and the wife, her son,daughter,grandson and me, wife,kids, nothing, wife-daughter-sister, husband-daughter, إلا بنه00, father, maid, son-daughter in law, maid/daughters, wife and kids, الابن والا بنت , her son and his children, الزوج , me and my son, she, الزوجه , son's family, her husband and children, her son, wife-daughter, her son, her daughter in law, الزوج والاخت والعاملة المنزلية, الزوجه والاولاد, the children and the husband, لااحد, لا احد, my husband, my children and I, الزوجه, her husband,son,grandson and the maid, الاخت, her grandson, wife-sister, wife-children-sister, daughter-grandson, son and daughter, his children and me, me and my brother, my wife and I, the wife and the son, the wife and the maid, اختاها, the children and the wife, wife and children, his wife,the maid and his grandchildren, husband/son, daughter and her husband, daughter and two grandchildren, me and my children, my mother, his wife and children, الابن, wife and daughter, my wife, her sister, son-daughter-maid, the son, the mother, her husband and I, wife-son, her son, her daughter and her granddaughter, my seblings, son-daughter, wife/son/daughter-in-law, ابنتاها, her daughter and her granddaughter, البن و الزوجه والكنه, wife, mother-brother-maid, our son and I(her husband), the husband, her sister and her mother, الابن و الكنة, 0, the wife, wife kids, الابنة, الاولاد  ولالحفاد, ابنتها وابنها, his wife and one of his children, wife-son-daughter in law-grandson, son and his family, her daughter and son, husband son daughter, son-daughter in law-grandson, ال ابنه  الأولى   والثانيه0, االابن, الاخ و زوجته و أولاده, her husband and her daughter, الابن , her husband and her son, her daughter and grandchildren, family, son, brothers and sisters, daughter-daughter in law-children, brother, my husband, children and I, الوالدة, his wife, his son, زوجها و ابنتها و حفيدتها, اﻷوﻻد, المخبر, children, husband-son-daughter in law-grand children, relative, اﻻم وثلاث اخوات, الابن  والابنه, the wife and the children, ابنها و زوجها, wife-children, none, الابنهكلا, me and his children, mother, الزوج  ولابنه, الزوجة و الاولاد, husband and children, الزوجة و العاملة, الخ الزوجه وأبناء الاخ, الزوجه والابنه, البنه, my sister and her daughter, الزوج والابن   وبنت الابن, الزوجه والا بنه, انا واختي وامي, الابناء, son,sibling,grandchildren, husband and kids, husband-grandson, 2, the son and daughter, الزوجة و البناء, الزوج واولاده, الزوج الابنة واخت الزوج, her husband, اﻻزوج, his son,grandson and me, إلا بأنه والابن  وابن الابن, الزوج و الابن, الاخت وزوج الاخت و العاملة المنزلية, her daughter, the husband and the wife only, her son and his family, wife and maid, younger brother, الزوج و الابناء, الزوجه ةالاولاد, زوجته, husband-son, الزوجة وبناته الثلاث, her husband and the maid, the daughter, the children, husband/maid, wife/daughter, الااحد, the daughter and the son, the son and the daughter in law, الخادمه, انا والاولاد, her husband and her children, ابنتان المشترك, the sister, الابن   والبنت , my seblings and I, her kids, الزوجة و الابنة, لا أحد, daughters, the wife and her sister, his children and I, his family, husband sister daughter, daughter/grand-daughter, wife made, اولاد, husband and son, البنات , ال ابنه والزوجه, her son, her daughter in law, her granddaughter, اﻻبنة, daughter-maid, me,kids, الابن الكنه الاحفاد, husband and daughter, nobody, الزوجة, wife and made, زوج والعاملة المنزلية, العاملة المنزلية, wife-daughters, her daughter and her grand daughter, الاخ, her children, daughter and helper, the son and his children, wife/sons, 6, the maid, my husband, الزوج الابنة, الابن وزوجته والاحفاد, الابن و الابنة و الزوج, son and his wife, brother-sister in law-children, الابن الكنة و الاحفاد, wife-son-daughter, الابن الكنة و الاحغاد, the son"
SRQ22_2,text, , ,text,,"support him, ﻻ شئ, المساعده عندما يكون مريضا من ناحيه اللبس والأكل , his wife, الأعمال الشاقه, help her if she's sick,  الاستحمام و ارتداء الملابس تحضير الطعام و ترتيب المنزل, house chores, لا يحتاج مساعدة إلا لتحضير طعامه , cooking-cleaning, fixing the house, house chores and preparing food, buying stuff, لا يحتاج مساعدة, preparing stuff, حاليا كل شي, no need, مساعده في الأعمال المنزليه  والتسوق, no, prepare food, bathing-dressing, الأعمال القاسية جدا, preparing food, cleaning the house, شغل الييت, لا تحتاج مساعدة, preparing food, housekeeping, stuff for the house, showering/cooking, تحضير الطعام, fixing the house/preparing her stuff, تناول ادويتها, sit with her, giving meds, الأعمال النزليه, prepare food, escorting, العمل الشاق ا, ﻻ يحتاج, كل انواع المساعدة, cleaning-watching the elderly, كل شيكل شيىء, buy her meds if sick and prepare food, اللباس ومساعدته في الأكل    والمشي   وأعطاه  الدواء, fix the house/cooking, food,laundry, sometimes bath, giving her medication, nothing, housecleaning, we give her the walker to walk, food, housekeeping and preparing food, her husband and children, لا شيء, تحضير الطعام  واعطاء الدواء و اﻻعمال المنزلية, food,buying medicine,cleaning the house, bath, جلب الاغراض, استخدام المرحاض الحمام تحضير الطعام الحركة, his wife prepares food and takes care of him, everything, sometimes, ترتيب المنزل/ التحرك , أغلب الأشياء , cooking/medications, we take care of each other, الاعمال المنزلية والاستحمام, ترتيب البيت, بعض الاعمال المنزلية, المساعدة في اﻻعمال المنزلية, preparing food, أكل شي, cleaning/cooking, المساعده الجسديه, her husband,son and the maid, قليل من الأعمال المنزليه, fix the house/timing of medication lunch dinner, cooking and house chores, الاعمال المنزلية والاهتمام به, كل شيء, the husband, كل شي حاليا بسبب الحادث, تنظيف، تحضير الطعام, 0, buying things, supervision on behaviour, bathing-food, prepare food and help the maid, تحضير الطعام و ترتيب المنزل, ترتيب المنزل, don't need help, cooking and laundry, أعمال البيت جنعيها, لا شي, cook food, cooking, preparing her stuff/help her in standing, تحضير الطعام والتسوق, buying things and medicine, cooking, giving meds, taking care, most of the things, fix the house, الأعمال اامنزليه, none, agriculture, الاعمال المنزلية وتحضير الطعام, كل شي الطعام دخول الحمام اللباس    أخذ  الرواء , لا يحتاج للمساعدة, help in the house, cleaning, كل شي, الاعمال المنزلية والاستخمام, if she's sick we give her meds, preparing food and buying stuff, when he walks he gets tired, تصليح الاعطال, تناول الدواء, كل شيء المشترك عاجز عن الحركة بشكل كلي تقريبا, showering, تحتاج إلى المساعده في الأعمال النزليه, أعمال المنزل   كلها, العمل في المنزل, ا0, preparing his stuff, بعض المساعدة في الاعمال المنزلية, لا يحتاج المساعدة, احمل اﻻشياء الثقيله, الأعمال المنزليه, لا يحتاج للمساعدة إلا في حال المرض, أعمال المنزليه, cleaning the house, القليل من الأعمال المنزليه, االاعمال  المنزليه   بكاملها, cleaning,shopping, الأعمال القاسيه, الأعمال المزليه, تصليح, 97, take care of her if sick, أقسم من العمال المنزليه, الأعمال القاسيه جدا, nobody, التيوق, prepare his stuff, لا يحتاج, housekeeping, escorting, الأعمال المنزليه والاهتمام بالمشترك, تصليح الأعطال , العمال المنزليه, giving her medicine, preparing food and stuff, الاعمال المنزلية, السوق  الأعمال القاسيه في المنزل, if she wants something i help her, الاهتمام به ومساعدته على الاهتمام بنظافته واعطائه اﻻدوية الﻻزمة"
SRQ23_2,text, , ,text,,"help me walking, buying stuff occasionally, she can't walk, accompany, accompanying him, الحركة, ﻻ يحتاج للمساعدة  , accompany/shopping, شراء الدواء والأغراض , التحرك/التسوق, buying stuff, حمل اﻻغاض, لا يحتاج مساعدة, help him in the shop, walks alone but get tired, no need, no, walking, المشتريات, التسوق وشراء اﻻدوية, مساعدة في المشي, السواقه, المشي, transportations, accounting of his store, buy necessary stuff, buy things, ﻻ يحتاج, التسوق, كل انواع المساعدة, help her to sit in the car, احيانا يحتاج لمن يساعده في المشي, take him to the doctor, nothing, ﻻ يحتاج الكثير ما المساعدة , accompany on the road, لا يحتاج مساعدة الا في بعض الوقات حيث يحتاج توصيلة الى مكان بعيد, لا شيء, جلب الاغراض, take her to see her children, everything, accompanying her, help in walking, accompany her to the doctor, التنقل و التسوق, التسوق شراء الدواء , cannot walk, المساعده الجسديه, hold her while walking, hold her stuff, التنقل, كل شيء, buying medicine, ﻻيحتاج, 0, driving, buying things, لا تحتاج إلى مساعده, supervision on behaviour, التسوق احيانا, كل المساعده, while walking, taking care of him, المساعدة على الحركة/جلب الدواء, going to the doctor or shopping, التسوق من خارج المنطقه, التسوق   اغراضها, shopping, buying things and medicine, لا يوجد, none, التسوق وجلب الدواء , agriculture, لاشيء, لا يحتاج للمساعدة, لا يخرج, escorting her, كل شي, شراء الحاجيات من السوق, accompany to the doctor, i take her anywhere, her husband, buying meds, الاعمال المنزلية وتناول الادوية, watching him, المساعدة في التنقل, شراء الدواء, المساعده  في المشي, النقل, لا يحتاج مساعد , 97, rarely goes out/sits on a chair waiting the car, take her to visit a relative or to the doctor, buying stuff and housekeeping, لا يحتاج, المساعده  في المشي , يحتاج الى المساندة عندما يمشي, escorting, take her a ride in the car to buy stuff, إحضار الادويه التسوق, buying medication, buying medicine and going to the doctor, التنقل بالسياره, صعوبه في المشي لفتره طويله, حاليا كل شئ بسبب الكسر, الذهاب إلى المشفى, إحضار الأغراض بسبب بعد المنزل عن البقالة, تصليح الأعطال   وقسم من  التسوق"
SRQ24_2,text, , ,text,,"no one, نحن ابناءها, ااتتنقل, neighbours, his wife, الاولاد, الاخ و زوجته و اولاده, البنات, sister, االاخت, البنت, her daughter,my husband and me, his wife and me, husband, husband-children, her daughter, her sons, ابنه الابن, daughter, me, الابن وانا, daughter in law, الابنه, الزوجه   ولابنه, الأبناء والاحفار, no need, no, الزوج, الكنه, اﻻخت, husband/daughter-in-law, the daughter, friend, انا, hanine and her kids, his wife and the maid, my siblings and I, her daughter comes if she's sick, الابن و زوجته, االالن, her son and I, his wife and his daughter, nephew, nothing, الكنز , maid, her son, only me, لا احد, اﻷوﻵد, الزوجه, جميع الابناء, the maid and I, الاخت, الابن والكنه, الجميع, the daughter and me, تقريبا كل افراد العائلة, me and my brother, my wife and I, الابنتان, we take care of each other, his daughter in law, take care of himself, wife and children, الابناء  واىزوجه, الزوجه وااكنه, انا واختي, my mother, me and my children, الابن, her sister, الابن و الزوج, wife-son, my seblings, son-daughter, المواصلات, الزوجة فقط, wife, الابنه والخادمه, made, الغاملة المنزلية, the husband, لا يحتاج مساعة, الابن و الكنة, his children, 0, the wife, البنت الزوج, one of my seblings and me, الابنة, brother-sister in law, my husband and I, الكنه والابن, sibling, son, if sick, daughter visits her frequently, brother, his wife when he is sick, her son only, العاءله, المخبر, children, wife and other relatives, wife-children, his wife and his son, none, الابن والابنة, الابناء, بنت الأخ , her granddaughter, her son, husband and kids, her sister samia takes care of her if she's sick, his wife, siblings and me, البنة, her husband, her daughter in law, her daughter, ابنة الاخ, زوجته, husband-son, الخادمه, the daughter and the son, all can help when needed, mother,me, انا واخواتي, لا أحد, her niece, daughters, husband and son, ahmad and I, 97, اﻻبنة, me,kids, younger brother and his wife, nobody, أولاده, الزوجة, husband/children when needed, الحفار والابناء, him and his family, sometimes her daughter, العاملة المنزلية, الاخ, daughter and helper, I, the maid, her son and her daughter in law, the son"
