COLUMN,cut_off,description,erroneous,perc_erroneous
STORY_2,,score of repeating story,,0.0
Q91_2,3,the participant says/points our that he/she doesn't know the place or address,,0.0
Q171_2,3,do you have children,,0.0
Q1366_2,3,Other hypnotics and tranquilizers (eg hypnotic taking during nightime),,0.0
Q1367_2,3,"Nerves tranquilizers (Valium, Liberium, etc.)",,0.0
Q1368_2,3,Other,,0.0
Q1401_2,4,"Says that when alone, he/she drinks three or more alcoholic beverages sequentially (one after the other)",,0.0
Q1411_2,4,Indicates that he/ she drinks alcohol on 4 occasions or more during separate times of the day,,0.0
Q1412_2,4,Indicates that he/ she usually drinks alcohol for continuous periods every day (more than 3 hours),,0.0
Q1421_2,3,Suffered such effects from excessive drinking or stopping drinking.,,0.0
Q1431_2,3,Needs a drink,,0.0
Q1451_2,3,"Because of agitation, depression, self-admiration, etc.",,0.0
Q1452_2,3,Due to memory failure,,0.0
Q1453_2,3,"Mistakes were made during partial consciousness (ie, the participant was falling asleep, under the influence of alcohol, drugs or delirium due to severe physical illness).",,0.0
Q1454_2,3,"The participant's reaction to mistakes was characterized by joy, indifference, or lightness.",,0.0
ICINTCOM_2,3,"* Interviewer's evaluation * Has the interview ended?
",,0.0
Q1581_2,4,It seems by looking at/ listening to the participant that he/she is sad or depressed,,0.0
Q1591_2,4,Slow: Very slow in all movements,,0.0
Q1601_2,4,Difficulties in thinking: participant seems confused,,0.0
Q1602_2,4,Difficulties in thinking: participant seems hesitant,,0.0
Q1365_2,3,"Barbituric acid analgesic (Allobarbital, Amobarbital, Aprobarbital)",,0.0
Q1364_2,3,Other psychosocial stimulants (eg amphetamines / pep pills),,0.0
Q1363_2,3,"Medicinal cannabis (cannabis, marijuana)",,0.0
Q545_2,4,"Over the last few nights, there has been a noticeable increase in sleep over the last two weeks",,0.0
Q366_2,,did you visit a doctor or specialist to treat the problem,,0.0
Q401_2,4,the interviewer's believes that the elderly has a memory problem,,0.0
Q451_2,4,"the elderly seems week, skinny, sick or disabled",,0.0
Q471_2,4,the elderly says that he/she had (or maybe had) a brain stroke in the past,,0.0
Q542_2,4,"Sleeping problem (insomnia) or discontinued sleeping, or intake of medication or alcohol to help getting asleep.",,0.0
Q543_2,4,Elderly suffers from anxiety for most of the night and often sleeps during the day.,,0.0
Q544_2,4,Has been suffering from a noticeable concern for most nights for at least two weeks during the past month.,,0.0
Q561_2,4,"Sleep interrupted during the night.  (Include waking up after an initial cat nap and not being able to sleep again for some lengthy time).  
If tablets taken rate what interviewee feels would have happened without them.",,0.0
Q1362_2,3,"Heliosis (eg LSD, Mescaline)",,0.0
Q571_2,3,Elderly wakes up about two or more hours before his/her usual waking time and can not go back to sleep most of the nights (this lasted for at least two weeks last month).,,0.0
Q582_2,3,"Mainly due to or arising from a physical cause in the body, or noise, etc. ",,0.0
Q652_2,4,Appears indecisive,,0.0
Chin_2,1,what is this called (interviewer shows a chin),,0.0
Q1022_2,3,"Mysterious, or almost certainly not true.",,0.0
Q1031_2,4,It seems from looking at/ listening to the participant that he/she is overly skeptical,,0.0
Q1361_2,3,"Opium alkaloids, heroin, industrial analgesics similar to morphine (eg pythidine, methadone, dehydroquidine) and cocaine.",,0.0
HASCONF_2,4,overall rating of confidence in data,,0.0
