COLUMN,data_type,frequencies,perc_missing,cut_off,description,erroneous,perc_erroneous,%_outliers,outlier_vals,scaled_%_outliers,scaled_outlier_vals
NPI7,categorical,"Counter({0.0: 683, 1.0: 46, 98.0: 2})",28.61328125,2.0,Does your (xxxx) seem less interested in his or her usual activities and plans of others?,98,0.3696857670979667,0.1953125,98.0,0.1953125,98.0
NPI8,categorical,"Counter({0.0: 716, 1.0: 13, 98.0: 2})",28.61328125,2.0,"Does your (xxxx) seem to act impulsively? For example, does your (xxxx) talk to strangers as if he or she knows them, or does your (xxxx) say things that may hurt people’s feeling?",98,0.3696857670979667,0.1953125,98.0,0.1953125,98.0
NPI9,categorical,"Counter({0.0: 713, 1.0: 16, 98.0: 2})",28.61328125,2.0,Is your (xxxx) impatient and cranky? Does he or she have difficulty coping with delays or waiting for planned activities?,98,0.3696857670979667,0.1953125,98.0,0.1953125,98.0
NPI11,categorical,"Counter({0.0: 718, 1.0: 11, 98.0: 2})",28.61328125,2.0,"Does your (xxxx) awaken you during the night, rise too early in the morning, or take excessive naps during the day?",98,0.3696857670979667,0.1953125,98.0,0.1953125,98.0
NPI6,categorical,"Counter({0.0: 724, 1.0: 6, 98.0: 1})",28.61328125,2.0,Does your (xxxx) appear to feel too good or act excessively happy?,98,0.18484288354898332,0.09765625,98.0,0.09765625,98.0
NPI10,categorical,"Counter({0.0: 726, 98.0: 3, 1.0: 2})",28.61328125,2.0,"Does your (xxxx) engage in repetitive activities, such as pacing around the house, handling buttons, wrapping string, or doing other things repeatedly?",98,0.5545286506469501,0.29296875,98.0,0.29296875,98.0
NPI4,categorical,"Counter({0.0: 689, 1.0: 38, 98.0: 4})",28.61328125,2.0,Does your (xxxx) act as if he or she is sad or in low spirits? Does he or she cry?,98,0.7393715341959335,0.390625,98.0,0.390625,98.0
CARENEED_2,ordinal,"Counter({3.0: 587, 2.0: 100, 1.0: 44})",28.61328125,2.0,The older person,,0.0,4.296875,1.0,4.296875,1.0
Q1551_2,ordinal,"Counter({1.0: 457, 0.0: 220, 2.0: 59, 8.0: 7})",27.44140625,4.0,"Taking everything into account, how would you describe your satisfaction with life at the present time: good, average, or weak?",8,1.2939001848428835,0.68359375,8.0,0.68359375,8.0
Q1561_2,ordinal,"Counter({1.0: 555, 0.0: 86, 2.0: 66, 3.0: 34, 8.0: 2})",27.44140625,5.0,"In general, how happy are you: very happy, reasonably happy, not too happy, not happy at all?",8,0.3696857670979667,0.1953125,8.0,0.1953125,8.0
ICINTCOM_2,categorical,"Counter({1.0: 744, 0.0: 9})",26.46484375,3.0,"* Interviewer's evaluation * Has the interview ended?
",,0.0,0.87890625,0.0,0.87890625,0.0
Q1821_2,ordinal,"Counter({0.0: 803, 1.0: 20, 8.0: 2, 2.0: 2})",19.23828125,4.0,"Exaggeration or tendency to say yes, indiscriminately.",8,0.3696857670979667,0.390625,2.0 8.0,0.390625,2.0 8.0
Q1822_2,ordinal,"Counter({0.0: 790, 1.0: 31, 2.0: 6})",19.23828125,4.0,"Minimization or tendency to say no, indiscriminately.",,0.0,3.61328125,1.0 2.0,3.61328125,1.0 2.0
Q781_2,ordinal,"Counter({0.0: 687, 1.0: 170, 2.0: 27, 9.0: 3, 8.0: 2})",13.18359375,4.0,Elderly seems very slow in all moves,"8,9",0.9242144177449167,0.48828125,8.0 9.0,0.48828125,8.0 9.0
Q871_2,ordinal,"Counter({0.0: 676, 1.0: 177, 2.0: 32, 8.0: 6})",12.98828125,4.0,Admits feeling lonely,8,1.1090573012939002,0.5859375,8.0,0.5859375,8.0
Q1351_2,categorical,"Counter({0.0: 919, 1.0: 14, 8.0: 2})",8.69140625,3.0,Note ** The participant is taking a doctor-prescribed medication to treat a mental problem,8,0.3696857670979667,0.1953125,8.0,0.1953125,8.0
Q1709_2,ordinal,"Counter({0.0: 870, 1.0: 63, 2.0: 8, 9.0: 7})",7.421875,4.0,Takes slow shuffling steps,9,1.2939001848428835,0.68359375,9.0,0.68359375,9.0
Q1708_2,ordinal,"Counter({0.0: 928, 1.0: 12, 9.0: 7, 2.0: 1})",7.421875,4.0,Staggers as if drunk,9,1.2939001848428835,0.68359375,9.0,0.68359375,9.0
Q1707_2,ordinal,"Counter({0.0: 864, 1.0: 67, 2.0: 9, 9.0: 8})",7.421875,4.0,"Gait normal, just unsteady",9,1.478743068391867,0.78125,9.0,0.78125,9.0
Q1361_2,categorical,"Counter({0.0: 954, 1.0: 1})",6.73828125,3.0,"Opium alkaloids, heroin, industrial analgesics similar to morphine (eg pythidine, methadone, dehydroquidine) and cocaine.",,0.0,0.09765625,1.0,0.09765625,1.0
Q201_2,ordinal,"Counter({0.0: 940, 1.0: 30, 8.0: 6, 2.0: 2, 9.0: 1})",4.39453125,4.0,episode of anxiety which participant tries to terminate e.g. by running out of room.,"8,9",1.2939001848428835,0.68359375,8.0 9.0,0.68359375,8.0 9.0
Q1742_2,ordinal,"Counter({0.0: 948, 1.0: 25, 2.0: 5, 9.0: 3})",4.19921875,4.0,"Patient talks fairly freely, but vaguely and ambiguously so that ideas communicated are not clear - vague wandering from idea to idea or point to point, e.g.
Question:  
HOW DO YOU LIKE IT IN THE HOSPITAL?
Response:  
WELL, or ….NOT QUITE THE SAME AS, OR …DO NOT QUITE KNOW HOW TO SAY IT.  IT IS NOT THE SAME, BEING IN HOSPITAL AS, or....WORKING. ER….THE JOB IS NOT QUITE THE SAME or… VERY MUCH THE SAME, BUT OF COURSE, IT IS NOT EXACTLY THE SAME.",9,0.5545286506469501,0.78125,2.0 9.0,0.78125,2.0 9.0
Q1744_2,ordinal,"Counter({0.0: 959, 1.0: 18, 2.0: 4, 9.0: 2})",4.00390625,4.0,"Circumstantial:  much unnecessary detail, but the object in view at the beginning is ultimately reached.",9,0.3696857670979667,0.5859375,2.0 9.0,0.5859375,2.0 9.0
Q1745_2,ordinal,"Counter({0.0: 968, 1.0: 10, 2.0: 3, 9.0: 2})",4.00390625,4.0,Rambling:  talks in an aimless fashion.  Object in view at the beginning is not reached.,9,0.3696857670979667,0.48828125,2.0 9.0,0.48828125,2.0 9.0
Q1743_2,ordinal,"Counter({0.0: 948, 1.0: 26, 2.0: 6, 9.0: 3})",4.00390625,4.0,"Irrelevance:  whole content of answer may have little to do with the question.  (Do not include wandering or rambling from the topic, or incoherence).",9,0.5545286506469501,0.87890625,2.0 9.0,0.87890625,2.0 9.0
Q171_2,categorical,"Counter({1.0: 803, 0.0: 182})",3.80859375,3.0,do you have children,,0.0,0.0,,0.0,
Q1031_2,ordinal,"Counter({0.0: 954, 1.0: 29, 2.0: 2})",3.80859375,4.0,It seems from looking at/ listening to the participant that he/she is overly skeptical,,0.0,3.02734375,1.0 2.0,3.02734375,1.0 2.0
Q331_2,ordinal,"Counter({0.0: 734, 1.0: 156, 2.0: 89, 9.0: 6, 8.0: 2})",3.61328125,6.0,"seems very nervous, worried, depressed or scared","8,9",1.478743068391867,0.78125,8.0 9.0,0.78125,8.0 9.0
Q75_2,ordinal,"Counter({0.0: 776, 1.0: 147, 2.0: 42, 8.0: 16, 9.0: 6})",3.61328125,4.0,evaluate: error in the year provided,"8,9",4.066543438077634,2.1484375,8.0 9.0,2.1484375,8.0 9.0
Q1441_2,categorical,"Counter({0.0: 953, 9.0: 26, 1.0: 8})",3.61328125,3.0,The interviewer believes that the participant has a drinking problem.,9,4.805914972273566,2.5390625,9.0,2.5390625,9.0
IRDISCR_2,boolean,"Counter({0.0: 828, 1.0: 152, 9.0: 5, 8.0: 2})",3.61328125,,"Interviewer rating: was there any discrepancy between stated birth date and stated age?
",,0.0,0.68359375,8.0 9.0,0.68359375,8.0 9.0
Q42_2,categorical,"Counter({0.0: 913, 1.0: 67, 9.0: 7})",3.61328125,3.0,"age is incomplete, irrelevant or no reply",9,1.2939001848428835,0.68359375,9.0,0.68359375,9.0
Q1242_2,ordinal,"Counter({0.0: 981, 1.0: 4, 9.0: 2, 8.0: 1})",3.515625,4.0,Hallucinations related to taste,"8,9",0.5545286506469501,0.29296875,8.0 9.0,0.29296875,8.0 9.0
Q32_2,categorical,"Counter({0.0: 912, 1.0: 68, 9.0: 7, 8.0: 1})",3.515625,3.0,"year of birth is incomplete, irrelevant or no reply","8,9",1.478743068391867,0.78125,8.0 9.0,0.78125,8.0 9.0
Q73_2,categorical,"Counter({0.0: 873, 1.0: 102, 8.0: 9, 9.0: 4})",3.515625,3.0,evaluate: the participants says/points out that he doesn't know the month,"8,9",2.4029574861367835,1.26953125,8.0 9.0,1.26953125,8.0 9.0
Q1041_2,ordinal,"Counter({0.0: 945, 1.0: 35, 8.0: 4, 2.0: 3, 9.0: 1})",3.515625,4.0,"There is a clear sense of excessive guilt or self-blame over past and present mistakes (do not affirm positively any self-blame that is justified or simple.)
  ","8,9",0.9242144177449167,0.78125,2.0 8.0 9.0,0.78125,2.0 8.0 9.0
IRERROR_2,categorical,"Counter({0.0: 553, 1.0: 434, 9.0: 1})",3.515625,3.0,"Interviewer's evaluation: In the Direction or Memory section, did you record ""Yes"" (an indication of memory errors) or ""Not applicable"" frequently during the interview? Or was there a lot of ""not applicable"" in the rest of the interview? """,9,0.18484288354898332,0.09765625,9.0,0.09765625,9.0
Q1365_2,categorical,"Counter({0.0: 972, 1.0: 16})",3.515625,3.0,"Barbituric acid analgesic (Allobarbital, Amobarbital, Aprobarbital)",,0.0,1.5625,1.0,1.5625,1.0
Q1191_2,ordinal,"Counter({0.0: 911, 1.0: 58, 2.0: 17, 9.0: 1, 8.0: 1})",3.515625,4.0, Note ** has a clear difficulty in focusing on the interview.,"8,9",0.3696857670979667,1.85546875,2.0 8.0 9.0,1.85546875,2.0 8.0 9.0
Q1061_2,ordinal,"Counter({0.0: 867, 1.0: 108, 2.0: 10, 8.0: 3})",3.515625,4.0,Participant is angry with him/herself,8,0.5545286506469501,1.26953125,2.0 8.0,1.26953125,2.0 8.0
Q71_2,ordinal,"Counter({0.0: 786, 1.0: 126, 2.0: 52, 8.0: 20, 9.0: 4})",3.515625,4.0,evaluate: there is an error in the date of the week provided,"8,9",4.436229205175602,2.34375,8.0 9.0,2.34375,8.0 9.0
Q531_2,categorical,"Counter({0.0: 932, 1.0: 51, 8.0: 3, 9.0: 2})",3.515625,3.0,Elderly has lost 10 pounds (4.5 kilograms) or more in the past three months,"8,9",0.9242144177449167,0.48828125,8.0 9.0,0.48828125,8.0 9.0
Q512_2,ordinal,"Counter({0.0: 954, 1.0: 30, 8.0: 3, 2.0: 1})",3.515625,4.0,increased appetite,8,0.5545286506469501,0.390625,2.0 8.0,0.390625,2.0 8.0
Q72_2,ordinal,"Counter({0.0: 820, 1.0: 111, 2.0: 32, 8.0: 22, 9.0: 3})",3.515625,4.0,evaluate: there is an error in the month provided ,"8,9",4.621072088724584,2.44140625,8.0 9.0,2.44140625,8.0 9.0
Q532_2,categorical,"Counter({0.0: 969, 1.0: 14, 8.0: 3, 9.0: 2})",3.515625,3.0,Elderly has lost 10 pounds (4.5 kilograms) or more during the past month,"8,9",0.9242144177449167,0.48828125,8.0 9.0,0.48828125,8.0 9.0
Q1371_2,categorical,"Counter({0.0: 975, 1.0: 13, 9.0: 1})",3.41796875,3.0,Drink alcohol (in one form or another) at least five days a week,9,0.18484288354898332,1.3671875,1.0 9.0,1.3671875,1.0 9.0
Q371_2,categorical,"Counter({0.0: 821, 1.0: 165, 9.0: 3})",3.41796875,3.0,does not remember well the interviewer's name (little mistakes are tolerable) ,9,0.5545286506469501,0.29296875,9.0,0.29296875,9.0
Q1364_2,categorical,Counter({0.0: 989}),3.41796875,3.0,Other psychosocial stimulants (eg amphetamines / pep pills),,0.0,0.0,,0.0,
Q1363_2,categorical,Counter({0.0: 989}),3.41796875,3.0,"Medicinal cannabis (cannabis, marijuana)",,0.0,0.0,,0.0,
Q381_2,categorical,"Counter({0.0: 706, 1.0: 278, 8.0: 3, 9.0: 2})",3.41796875,3.0,does not remember the name of the current prime minister (if wrong give the right answer: Tamam Salam) ,"8,9",0.9242144177449167,0.48828125,8.0 9.0,0.48828125,8.0 9.0
Q533_2,categorical,"Counter({0.0: 969, 1.0: 16, 9.0: 2, 8.0: 2})",3.41796875,3.0,Elderly gained 10 pounds (4.5 kilograms) or more during the past month,"8,9",0.7393715341959335,0.390625,8.0 9.0,0.390625,8.0 9.0
Q491_2,ordinal,"Counter({0.0: 848, 1.0: 127, 8.0: 7, 2.0: 6, 9.0: 1})",3.41796875,4.0,difficulty to relax,"8,9",1.478743068391867,0.78125,8.0 9.0,0.78125,8.0 9.0
Q722_2,ordinal,"Counter({0.0: 810, 1.0: 149, 2.0: 24, 8.0: 6})",3.41796875,4.0,It exists most days for at least two weeks,8,1.1090573012939002,0.5859375,8.0,0.5859375,8.0
Q1042_2,ordinal,"Counter({0.0: 945, 1.0: 39, 2.0: 4, 8.0: 1})",3.41796875,4.0,The participant mentions to regret something from the past which may or may not be justified.,8,0.18484288354898332,0.48828125,2.0 8.0,0.48828125,2.0 8.0
Q301_2,categorical,"Counter({0.0: 950, 1.0: 36, 8.0: 3})",3.41796875,3.0,already contemplated the idea of suicide or wished for death,8,0.5545286506469501,0.29296875,8.0,0.29296875,8.0
Q911_2,ordinal,"Counter({0.0: 970, 1.0: 13, 8.0: 3, 2.0: 2, 9.0: 1})",3.41796875,4.0,Has this feeling,"8,9",0.7393715341959335,0.5859375,2.0 8.0 9.0,0.5859375,2.0 8.0 9.0
Q1182_2,ordinal,"Counter({0.0: 872, 1.0: 71, 2.0: 22, 9.0: 13, 8.0: 11})",3.41796875,4.0,"Difficulty with some forms of concentration most days, at least for two weeks.","8,9",4.436229205175602,2.34375,8.0 9.0,2.34375,8.0 9.0
Q1381_2,categorical,"Counter({0.0: 962, 9.0: 24, 1.0: 3})",3.41796875,3.0,He/she does this,9,4.436229205175602,2.34375,9.0,2.34375,9.0
Q1391_2,ordinal,"Counter({0.0: 954, 9.0: 32, 1.0: 3})",3.41796875,4.0,The participant admits that it is a problem,9,5.914972273567468,3.125,9.0,3.125,9.0
Q1043_2,ordinal,"Counter({0.0: 967, 1.0: 12, 8.0: 7, 2.0: 3})",3.41796875,4.0,Feeling excessive guilt or lack of self-value most days for at least two weeks.,8,1.2939001848428835,0.68359375,8.0,0.68359375,8.0
Q1251_2,ordinal,"Counter({0.0: 983, 1.0: 4, 2.0: 1, 8.0: 1})",3.41796875,4.0,Indicates that he/she hears voices in the absence of any external influence that can be defined,8,0.18484288354898332,0.5859375,1.0 2.0 8.0,0.5859375,1.0 2.0 8.0
Q1044_2,ordinal,"Counter({0.0: 974, 1.0: 8, 8.0: 7})",3.41796875,4.0,The imaginary feeling of lack of self-value and guilt most days.,8,1.2939001848428835,0.68359375,8.0,0.68359375,8.0
Q642_2,ordinal,"Counter({0.0: 923, 1.0: 46, 8.0: 12, 2.0: 7, 9.0: 1})",3.41796875,4.0,"A feeling of confused thinking or hesitation is present for most days, for at least two weeks.","8,9",2.4029574861367835,1.26953125,8.0 9.0,1.26953125,8.0 9.0
Q1362_2,categorical,Counter({0.0: 989}),3.41796875,3.0,"Heliosis (eg LSD, Mescaline)",,0.0,0.0,,0.0,
Q74_2,categorical,"Counter({0.0: 871, 1.0: 106, 8.0: 10, 9.0: 2})",3.41796875,3.0,"evaluate: at least some answers are incomplete, irrelevant or no answer","8,9",2.2181146025878005,1.171875,8.0 9.0,1.171875,8.0 9.0
Q1181_2,ordinal,"Counter({0.0: 717, 9.0: 167, 1.0: 75, 2.0: 20, 8.0: 10})",3.41796875,4.0,He/she has difficulty focusing on reading.,"8,9",32.71719038817005,0.0,,0.0,
Q1368_2,categorical,"Counter({0.0: 962, 1.0: 27})",3.41796875,3.0,Other,,0.0,2.63671875,1.0,2.63671875,1.0
Q1271_2,ordinal,"Counter({0.0: 980, 1.0: 6, 9.0: 1, 2.0: 1, 8.0: 1})",3.41796875,4.0,Says that he/she is testing visual perception in the absence of any identifiable external stimulus.,"8,9",0.3696857670979667,0.29296875,2.0 8.0 9.0,0.29296875,2.0 8.0 9.0
Q1367_2,categorical,"Counter({0.0: 926, 1.0: 63})",3.41796875,3.0,"Nerves tranquilizers (Valium, Liberium, etc.)",,0.0,6.15234375,1.0,6.15234375,1.0
Q1201_2,ordinal,"Counter({0.0: 975, 1.0: 9, 8.0: 3, 2.0: 1, 9.0: 1})",3.41796875,4.0,Describes an abnormal sensory experience,"8,9",0.7393715341959335,0.48828125,2.0 8.0 9.0,0.48828125,2.0 8.0 9.0
Q281_2,categorical,"Counter({0.0: 834, 1.0: 130, 2.0: 14, 8.0: 11})",3.41796875,4.0,felt life not worth living,8,2.033271719038817,1.07421875,8.0,1.07421875,8.0
Q541_2,categorical,"Counter({0.0: 801, 1.0: 186, 8.0: 2})",3.41796875,3.0,Problem sleeping or change in the sleeping pattern,8,0.3696857670979667,0.1953125,8.0,0.1953125,8.0
Q101_2,categorical,"Counter({0.0: 835, 1.0: 143, 9.0: 9, 8.0: 2})",3.41796875,3.0,"give a positive answer and a short explanation like ""you examined me yesterday"". This answer is wrong","8,9",2.033271719038817,1.07421875,8.0 9.0,1.07421875,8.0 9.0
Q76_2,categorical,"Counter({0.0: 844, 1.0: 137, 9.0: 4, 8.0: 4})",3.41796875,3.0,evaluate: the participant says/points out that he doesn't know the year,"8,9",1.478743068391867,0.78125,8.0 9.0,0.78125,8.0 9.0
Q1141_2,ordinal,"Counter({0.0: 904, 1.0: 62, 2.0: 14, 9.0: 5, 8.0: 4})",3.41796875,4.0,Participant did not enjoy almost anything,"8,9",1.6635859519408502,0.87890625,8.0 9.0,0.87890625,8.0 9.0
Q102_2,categorical,"Counter({0.0: 966, 1.0: 18, 9.0: 5})",3.41796875,3.0,mentioned wrong events (not imaginary and not specific in a wrong way),9,0.9242144177449167,0.48828125,9.0,0.48828125,9.0
Q901_2,ordinal,"Counter({0.0: 928, 1.0: 38, 2.0: 21, 8.0: 2, 9.0: 1})",3.3203125,4.0,Feels disturbed,"8,9",0.5545286506469501,2.34375,2.0 8.0 9.0,2.34375,2.0 8.0 9.0
Q502_2,ordinal,"Counter({0.0: 880, 1.0: 95, 9.0: 6, 2.0: 6, 8.0: 3})",3.3203125,4.0,"describes the headacke as the product of nervous tension: tension around the head, tension, stiff neck","8,9",1.6635859519408502,0.87890625,8.0 9.0,0.87890625,8.0 9.0
Q1131_2,ordinal,"Counter({0.0: 921, 1.0: 53, 2.0: 9, 8.0: 5, 9.0: 2})",3.3203125,4.0,Participant has less interests in the past month than he/she usually has,"8,9",1.2939001848428835,0.68359375,8.0 9.0,0.68359375,8.0 9.0
Q451_2,ordinal,"Counter({0.0: 914, 1.0: 67, 2.0: 9})",3.3203125,4.0,"the elderly seems week, skinny, sick or disabled",,0.0,0.87890625,2.0,0.87890625,2.0
Q711_2,ordinal,"Counter({0.0: 600, 1.0: 345, 2.0: 44, 8.0: 1})",3.3203125,4.0,"From his/her point of view, the elderly is slower in motion",8,0.18484288354898332,0.09765625,8.0,0.09765625,8.0
Q1231_2,ordinal,"Counter({0.0: 984, 1.0: 4, 9.0: 1, 8.0: 1})",3.3203125,4.0,Hallucinations have to do with smell,"8,9",0.3696857670979667,0.1953125,8.0 9.0,0.1953125,8.0 9.0
Q652_2,ordinal,"Counter({0.0: 921, 1.0: 61, 2.0: 8})",3.3203125,4.0,Appears indecisive,,0.0,6.73828125,1.0 2.0,6.73828125,1.0 2.0
Q643_2,ordinal,"Counter({0.0: 941, 1.0: 35, 8.0: 9, 2.0: 3, 9.0: 2})",3.3203125,4.0,The feeling of not coping well with the daily routine.,"8,9",2.033271719038817,1.07421875,8.0 9.0,1.07421875,8.0 9.0
Q1221_2,ordinal,"Counter({0.0: 984, 1.0: 3, 8.0: 2, 9.0: 1})",3.3203125,4.0,Physical hallucinations,"8,9",0.5545286506469501,0.29296875,8.0 9.0,0.29296875,8.0 9.0
Q452_2,categorical,"Counter({0.0: 960, 1.0: 29, 8.0: 1})",3.3203125,3.0,"One or more body parts appear paralyzed in whole or in part, or there is a sign of paralysis on one side of the face.",8,0.18484288354898332,2.9296875,1.0 8.0,2.9296875,1.0 8.0
Q31_2,categorical,"Counter({0.0: 886, 1.0: 97, 9.0: 5, 8.0: 2})",3.3203125,3.0,States or indicates by gesture he/she does not know what year he/she was born,"8,9",1.2939001848428835,0.68359375,8.0 9.0,0.68359375,8.0 9.0
Q641_2,ordinal,"Counter({0.0: 872, 1.0: 97, 2.0: 10, 8.0: 10, 9.0: 1})",3.3203125,4.0,Feels indecisive,"8,9",2.033271719038817,1.07421875,8.0 9.0,1.07421875,8.0 9.0
Q1171_2,ordinal,"Counter({0.0: 876, 1.0: 94, 2.0: 12, 8.0: 5, 9.0: 3})",3.3203125,4.0,He/she finds it difficult to focus on entertainment material,"8,9",1.478743068391867,0.78125,8.0 9.0,0.78125,8.0 9.0
Q611_2,ordinal,"Counter({0.0: 903, 1.0: 77, 8.0: 7, 2.0: 3})",3.3203125,4.0,"Palpitations (i.e. patient is conscious of his/her heartbeat which is not due to exercise, but usually accompanied by anxiety.",8,1.2939001848428835,0.68359375,8.0,0.68359375,8.0
Q1241_2,ordinal,"Counter({0.0: 981, 1.0: 6, 9.0: 2, 8.0: 1})",3.3203125,4.0,"A bad taste, not necessarily due to hallucination, for example, bitter taste. ","8,9",0.5545286506469501,0.29296875,8.0 9.0,0.29296875,8.0 9.0
Q651_2,ordinal,"Counter({0.0: 923, 1.0: 54, 2.0: 12, 8.0: 1})",3.3203125,4.0,The elderly seems confused ,8,0.18484288354898332,1.26953125,2.0 8.0,1.26953125,2.0 8.0
Q612_2,ordinal,"Counter({0.0: 927, 1.0: 53, 8.0: 7, 2.0: 3})",3.3203125,4.0,Trembling or tremulous feeling due to anxiety.,8,1.2939001848428835,0.68359375,8.0,0.68359375,8.0
Q292_2,categorical,"Counter({0.0: 889, 1.0: 88, 8.0: 11, 9.0: 2})",3.3203125,3.0,"is pessimistic, doesn’t see a future ahead/ the future is unbearable","8,9",2.4029574861367835,1.26953125,8.0 9.0,1.26953125,8.0 9.0
Q352_2,categorical,"Counter({0.0: 849, 1.0: 114, 2.0: 20, 8.0: 6, 9.0: 1})",3.3203125,4.0,forgets were he/she puts stuff,"8,9",1.2939001848428835,0.68359375,8.0 9.0,0.68359375,8.0 9.0
Q481_2,ordinal,"Counter({0.0: 669, 1.0: 298, 2.0: 16, 8.0: 7})",3.3203125,4.0,Gets worn out or exhausted during daytime or evening,8,1.2939001848428835,0.68359375,8.0,0.68359375,8.0
Q1051_2,ordinal,"Counter({0.0: 789, 1.0: 187, 2.0: 11, 8.0: 3})",3.3203125,4.0,Participant admits to feel annoyed (angry),8,0.5545286506469501,0.29296875,8.0,0.29296875,8.0
Q1222_2,ordinal,"Counter({0.0: 980, 9.0: 4, 8.0: 3, 1.0: 3})",3.3203125,4.0,"Illusions that involve sexual sensations, for example, from telepathy, an imaginary lover having sex with the participant during the night, etc.
(If the answer is positive, evaluate as ""yes, simple"" or  ""yes, severe"").","8,9",1.2939001848428835,0.68359375,8.0 9.0,0.68359375,8.0 9.0
Q613_2,ordinal,"Counter({0.0: 967, 1.0: 13, 8.0: 7, 2.0: 3})",3.3203125,4.0,Other physical manifestations of anxiety,8,1.2939001848428835,0.68359375,8.0,0.68359375,8.0
Q341_2,categorical,"Counter({0.0: 663, 1.0: 299, 2.0: 21, 8.0: 7})",3.3203125,4.0,difficulties from his/her point of view; the memory problem is a true problem for him/her,8,1.2939001848428835,0.68359375,8.0,0.68359375,8.0
Q221_2,ordinal,"Counter({0.0: 720, 1.0: 247, 2.0: 15, 8.0: 6, 9.0: 2})",3.3203125,4.0,Have you cried at all? How often? Has cried:,"8,9",1.478743068391867,0.78125,8.0 9.0,0.78125,8.0 9.0
Q351_2,categorical,"Counter({0.0: 900, 1.0: 75, 2.0: 9, 8.0: 6})",3.3203125,4.0,"forgets the names of friends, family or calls them with other names ",8,1.1090573012939002,0.5859375,8.0,0.5859375,8.0
Q721_2,ordinal,"Counter({0.0: 726, 1.0: 235, 2.0: 25, 8.0: 4})",3.3203125,4.0,Listlessness or subjective   restriction of energy.,8,0.7393715341959335,0.390625,8.0,0.390625,8.0
Q111_2,categorical,"Counter({0.0: 971, 1.0: 15, 9.0: 4})",3.3203125,3.0,observation: the participant speaks without a purpose. Did not get to the point being made,9,0.7393715341959335,0.390625,9.0,0.390625,9.0
Q511_2,ordinal,"Counter({0.0: 904, 1.0: 78, 2.0: 5, 8.0: 3})",3.3203125,4.0,loss or decreased appetite ,8,0.5545286506469501,0.78125,2.0 8.0,0.78125,2.0 8.0
Q291_2,categorical,"Counter({0.0: 809, 1.0: 167, 8.0: 13, 9.0: 1})",3.3203125,3.0,not pessimistic but doesn’t have something to do/wait for (lives day by day),"8,9",2.5878003696857674,1.3671875,8.0 9.0,1.3671875,8.0 9.0
Q293_2,categorical,"Counter({0.0: 896, 1.0: 80, 8.0: 11, 9.0: 3})",3.3203125,3.0,genenral status of hoplessness or depression,"8,9",2.5878003696857674,1.3671875,8.0 9.0,1.3671875,8.0 9.0
Q631_2,ordinal,"Counter({0.0: 866, 1.0: 100, 8.0: 15, 2.0: 9})",3.3203125,4.0,Feeling confused,8,2.7726432532347505,1.46484375,8.0,1.46484375,8.0
Q1211_2,ordinal,"Counter({0.0: 982, 9.0: 3, 1.0: 3, 8.0: 2})",3.3203125,4.0,Baffled by something strange happening,"8,9",0.9242144177449167,0.48828125,8.0 9.0,0.48828125,8.0 9.0
Q1233_2,ordinal,"Counter({0.0: 984, 9.0: 3, 8.0: 2, 1.0: 1})",3.3203125,4.0,"The participant claims to be farting. (If the answer is positive, evaluate it as ""yes, simple"" or ""yes, severe"")","8,9",0.9242144177449167,0.48828125,8.0 9.0,0.48828125,8.0 9.0
Q211_2,ordinal,"Counter({0.0: 704, 1.0: 261, 2.0: 21, 8.0: 4})",3.3203125,4.0,depressed mood,8,0.7393715341959335,0.390625,8.0,0.390625,8.0
Q621_2,ordinal,"Counter({0.0: 822, 1.0: 143, 8.0: 14, 2.0: 11})",3.3203125,4.0,Subjective slowing in thinking.,8,2.5878003696857674,1.3671875,8.0,1.3671875,8.0
Q731_2,ordinal,"Counter({0.0: 734, 1.0: 226, 2.0: 28, 8.0: 2})",3.3203125,4.0,"Move less than usual.

",8,0.3696857670979667,0.1953125,8.0,0.1953125,8.0
Q361_2,categorical,"Counter({0.0: 693, 1.0: 285, 8.0: 10, 9.0: 2})",3.3203125,3.0,needs to make more efforts to remember things,"8,9",2.2181146025878005,1.171875,8.0 9.0,1.171875,8.0 9.0
IRHOME_2,categorical,"Counter({1.0: 683, 0.0: 306, 9.0: 1})",3.3203125,3.0,did the interview take place in the participant's home,9,0.18484288354898332,0.09765625,9.0,0.09765625,9.0
Q644_2,ordinal,"Counter({0.0: 934, 1.0: 39, 8.0: 9, 2.0: 5, 9.0: 3})",3.3203125,4.0,Lack of self-confidence,"8,9",2.2181146025878005,1.171875,8.0 9.0,1.171875,8.0 9.0
Q11_2,categorical,"Counter({0.0: 871, 1.0: 114, 9.0: 5})",3.3203125,3.0,Cannot repeat interviewer’s name correctly even after three repetitions,9,0.9242144177449167,0.48828125,9.0,0.48828125,9.0
Q294_2,categorical,"Counter({0.0: 871, 1.0: 102, 8.0: 11, 9.0: 6})",3.3203125,3.0,the circumstances of the participant explains the pessimism,"8,9",3.1423290203327165,1.66015625,8.0 9.0,1.66015625,8.0 9.0
Q931_2,categorical,"Counter({0.0: 949, 1.0: 36, 8.0: 4, 9.0: 1})",3.3203125,3.0,There are people like this,"8,9",0.9242144177449167,0.48828125,8.0 9.0,0.48828125,8.0 9.0
